error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1496,98304,98305,0x00300000,0x00300020,8962,10085,1123,1122,0xD9281CF9,0xB25039F2,0xFE68243F,>64,unknown,False
1497,98431,98432,0x00300FE0,0x00301000,10211,10214,3,2,0x054ABBCA,0x0A957794,0x2A55DE52,3,2,True
1498,98432,98433,0x00301000,0x00301020,10214,10948,734,733,0x2A55DE52,0x54ABBCA4,0x708A13DD,>64,unknown,False
1499,98559,98560,0x00301FE0,0x00302000,11074,11077,3,2,0xE1C7DBAE,0xC38FB75C,0x0E3EDD73,3,2,True
1500,98560,98561,0x00302000,0x00302020,11077,12194,1117,1116,0x0E3EDD73,0x1C7DBAE6,0x57C90F31,>64,unknown,False
1501,98687,98688,0x00302FE0,0x00303000,12320,12323,3,2,0xAA81D16B,0x5503A2D7,0x540E8B5E,3,2,True
1502,98688,98689,0x00303000,0x00303020,12323,13799,1476,1475,0x540E8B5E,0xA81D16BD,0x702E4045,>64,unknown,False
1503,98815,98816,0x00303FE0,0x00304000,13925,13928,3,2,0x30039EE1,0x60073DC2,0x801CF70B,3,2,True
1504,98816,98817,0x00304000,0x00304020,13928,15074,1146,1145,0x801CF70B,0x0039EE16,0x25D6A042,>64,unknown,False
1505,98943,98944,0x00304FE0,0x00305000,15200,15203,3,2,0x82949A11,0x05293422,0x14A4D088,3,2,True
1506,98944,98945,0x00305000,0x00305020,15203,16631,1428,1427,0x14A4D088,0x2949A111,0xD89E688E,>64,unknown,False
1507,99071,99072,0x00305FE0,0x00306000,16757,16760,3,2,0x7BB07578,0xF760EAF0,0xDD83ABC0,3,2,True
1508,99072,99073,0x00306000,0x00306020,16760,17885,1125,1124,0xDD83ABC0,0xBB075781,0xEF7CA10B,>64,unknown,False
1509,99199,99200,0x00306FE0,0x00307000,18011,18014,3,2,0x35FC4EF7,0x6BF89DEF,0xAFE277BD,3,2,True
1510,99200,99201,0x00307000,0x00307020,18014,18823,809,808,0xAFE277BD,0x5FC4EF7B,0x394F7B7A,>64,unknown,False
1511,99327,99328,0x00307FE0,0x00308000,18949,18952,3,2,0x5BEED926,0xB7DDB24C,0xDF76C930,3,2,True
1512,99328,99329,0x00308000,0x00308020,18952,20387,1435,1434,0xDF76C930,0xBEED9261,0x3552F1CD,>64,unknown,False
1513,99455,99456,0x00308FE0,0x00309000,20513,20516,3,2,0x540728DA,0xA80E51B5,0xA03946D7,3,2,True
1514,99456,99457,0x00309000,0x00309020,20516,21724,1208,1207,0xA03946D7,0x40728DAE,0x9686E1DD,>64,unknown,False
1515,99583,99584,0x00309FE0,0x0030A000,21850,21853,3,2,0xCDBACC73,0x9B7598E7,0x6DD6639C,3,2,True
1516,99584,99585,0x0030A000,0x0030A020,21853,23275,1422,1421,0x6DD6639C,0xDBACC739,0x58D09625,>64,unknown,False
1517,99711,99712,0x0030AFE0,0x0030B000,23401,23404,3,2,0xB9BBD0C7,0x7377A18E,0xCDDE8639,3,2,True
1518,99712,99713,0x0030B000,0x0030B020,23404,24544,1140,1139,0xCDDE8639,0x9BBD0C73,0x2BE5F9D1,>64,unknown,False
1519,99839,99840,0x0030BFE0,0x0030C000,24670,24673,3,2,0xD8DA2C3C,0xB1B45879,0xC6D161E6,3,2,True
1520,99840,99841,0x0030C000,0x0030C020,24673,25472,799,798,0xC6D161E6,0x8DA2C3CD,0x6B6B2BF7,>64,unknown,False
1521,99967,99968,0x0030CFE0,0x0030D000,25598,25601,3,2,0x6EC4426B,0xDD8884D6,0x7622135A,3,2,True
1522,99968,99969,0x0030D000,0x0030D020,25601,26731,1130,1129,0x7622135A,0xEC4426B4,0x04BA703F,>64,unknown,False
1523,100095,100096,0x0030DFE0,0x0030E000,26857,26860,3,2,0x749C4E6C,0xE9389CD8,0xA4E27360,3,2,True
1524,100096,100097,0x0030E000,0x0030E020,26860,28305,1445,1444,0xA4E27360,0x49C4E6C1,0xD7E86CA0,>64,unknown,False
