error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
9324,2111418,2111419,0x0406F740,0x0406F760,59975,59978,3,2,0x6EB71B4F,0xDD6E369E,0x75B8DA79,3,2,False
9325,2111432,2111433,0x0406F900,0x0406F920,59991,59994,3,2,0x1B4F2CC2,0x369E5984,0xDA796610,3,2,False
9326,2359423,2359424,0x04800FE0,0x04801000,45840,45842,2,1,0x3906BB3E,0x720D767D,0xE41AECFA,2,1,True
9327,2359551,2359552,0x04801FE0,0x04802000,45969,45971,2,1,0x6106A26D,0xC20D44DB,0x841A89B6,2,1,True
9328,2359679,2359680,0x04802FE0,0x04803000,46098,46100,2,1,0x95FE95A4,0x2BFD2B49,0x57FA5693,2,1,True
9329,2359807,2359808,0x04803FE0,0x04804000,46227,46229,2,1,0x37386E33,0x6E70DC67,0xDCE1B8CF,2,1,True
9330,2359935,2359936,0x04804FE0,0x04805000,46356,46358,2,1,0x8BBA16EA,0x17742DD5,0x2EE85BAB,2,1,True
9331,2360063,2360064,0x04805FE0,0x04806000,46485,46487,2,1,0x7FEB878D,0xFFD70F1A,0xFFAE1E34,2,1,True
9332,2360191,2360192,0x04806FE0,0x04807000,46614,46616,2,1,0xC858F0BD,0x90B1E17A,0x2163C2F5,2,1,True
9333,2360202,2360203,0x04807140,0x04807160,46626,46629,3,2,0x8F0BD5BF,0x1E17AB7E,0x785EADF9,3,2,False
9334,2360216,2360217,0x04807300,0x04807320,46642,46645,3,2,0xD5BF278A,0xAB7E4F14,0xADF93C51,3,2,False
9335,2360228,2360229,0x04807480,0x048074A0,46656,46659,3,2,0xC9E28818,0x93C51031,0x4F1440C4,3,2,False
9336,2360241,2360242,0x04807620,0x04807640,46671,46674,3,2,0x440C4BE3,0x881897C7,0x20625F1E,3,2,False
9337,2360254,2360255,0x048077C0,0x048077E0,46686,46689,3,2,0x25F1E3C2,0x4BE3C785,0x2F8F1E14,3,2,False
9338,2360267,2360268,0x04807960,0x04807980,46701,46704,3,2,0xF1E14CB3,0xE3C29966,0x8F0A659B,3,2,False
9339,2360280,2360281,0x04807B00,0x04807B20,46716,46719,3,2,0xA659B264,0x4CB364C9,0x32CD9327,3,2,False
9340,2360292,2360293,0x04807C80,0x04807CA0,46730,46733,3,2,0x6C9939BD,0xD932737B,0x64C9CDED,3,2,False
9341,2360305,2360306,0x04807E20,0x04807E40,46745,46748,3,2,0x9CDED7EB,0x39BDAFD6,0xE6F6BF58,3,2,False
9342,2360317,2360318,0x04807FA0,0x04807FC0,46759,46762,3,2,0xB5FAC74C,0x6BF58E99,0xAFD63A65,3,2,False
9343,2360319,2360320,0x04807FE0,0x04808000,46763,46765,2,1,0x5FAC74CB,0xBF58E996,0x7EB1D32C,2,1,True
9344,2360329,2360330,0x04808120,0x04808140,46774,46777,3,2,0x63A65817,0xC74CB02F,0x1D32C0BD,3,2,False
9345,2360341,2360342,0x048082A0,0x048082C0,46788,46791,3,2,0x9605ECB9,0x2C0BD973,0xB02F65CE,3,2,False
9346,2360354,2360355,0x04808440,0x04808460,46803,46806,3,2,0xF65CE461,0xECB9C8C2,0xB2E7230A,3,2,False
9347,2360367,2360368,0x048085E0,0x04808600,46818,46821,3,2,0x7230A155,0xE46142AA,0x91850AAB,3,2,False
9348,2360380,2360381,0x04808780,0x048087A0,46833,46836,3,2,0x50AABDF1,0xA1557BE2,0x8555EF89,3,2,False
9349,2360393,2360394,0x04808920,0x04808940,46848,46851,3,2,0x5EF895F6,0xBDF12BEC,0xF7C4AFB0,3,2,False
9350,2360406,2360407,0x04808AC0,0x04808AE0,46863,46866,3,2,0x4AFB0A64,0x95F614C8,0x57D85323,3,2,False
9351,2360418,2360419,0x04808C40,0x04808C60,46877,46880,3,2,0xC2991FE3,0x85323FC7,0x14C8FF1C,3,2,False
9352,2360428,2360429,0x04808D80,0x04808DA0,46889,46892,3,2,0x91FE393F,0x23FC727F,0x8FF1C9FD,3,2,False
9353,2360441,2360442,0x04808F20,0x04808F40,46904,46907,3,2,0x1C9FDED4,0x393FBDA8,0xE4FEF6A2,3,2,False
9354,2360447,2360448,0x04808FE0,0x04809000,46912,46914,2,1,0x9FDED448,0x3FBDA891,0x7F7B5123,2,1,True
9355,2360451,2360452,0x04809060,0x04809080,46917,46920,3,2,0xFBDA891D,0xF7B5123A,0xDED448EB,3,2,False
9356,2360465,2360466,0x04809220,0x04809240,46933,46936,3,2,0x891D6636,0x123ACC6D,0x48EB31B6,3,2,False
9357,2360477,2360478,0x048093A0,0x048093C0,46947,46950,3,2,0x598DB674,0xB31B6CE9,0xCC6DB3A6,3,2,False
9358,2360490,2360491,0x04809540,0x04809560,46962,46965,3,2,0xDB3A628D,0xB674C51B,0xD9D3146F,3,2,False
